pkid,fkroutegroup
810c42a3-b027-80c5-4a9c-6ebb6c98d464,c186a669-17cb-5ffc-0758-360918cd87b1
812f7648-41a3-e15c-273c-58c5886c4fbb,
81355b4d-e7a5-e894-3be9-da19b352e2a9,c7bb6e1d-a9af-a11f-8efd-07572de6f014
817ae91c-c576-7d25-d20b-8cce76c7cdc0,
81b236d6-1eb1-a2d2-e88b-e733a91c9a13,
81fdb80c-2d1a-06ad-7e53-4aa6c77e6f0c,
821c070d-cee1-1e8e-b7c6-bd0e958ab377,ebf22ea9-1675-2510-83ef-0a136a15b747
823d4ede-f676-bc39-5c5e-004361e5b7b8,
8294e857-b120-9aca-0cbc-ed42eba40dbf,
82ade78f-e993-d41a-9438-ce3a554f0133,
8376f769-2408-8116-32ed-b20fdf8380eb,db9ba412-cf7d-b934-57b2-074849543286
845abf8d-f111-7d7b-00a9-b95bb657515a,
84a26c65-8962-e6a6-2e33-b95a76dfa73f,
84d21924-2c36-4463-3f5f-2bd3ead802b7,2d82c40b-5505-6d4b-6cbb-8f9628057b37
84ff08e1-9279-42d4-b221-3ff0e5afee13,
858913f7-0647-042f-21e6-1691aed25eb3,7b99f142-1e57-721b-4b30-b9a976b0f503
8620d471-7f05-c900-6fc2-56dc24f4f398,43c2bfd2-0e54-bab6-9ba8-a021481786f8
865a8e88-12f2-7c1f-c954-e5740bc40a37,328b4e60-8c02-64c4-53c8-ec79a5be7fb9
8665519e-5a67-c9fb-e8d9-c4ca713b99f9,
8680cd24-eddf-0383-98b4-de614f720194,
8681da43-de83-350c-7c47-674bd849b5c9,
871b6eb1-d8c0-e86d-a3a6-e028786fad4b,
87337276-45f0-3ce8-8e99-17748e01aee3,
87891a48-0e9f-e569-1274-e409eff889c6,
87acb2a2-c756-e30f-0f80-124ab9028976,18b3ecb9-a2e4-a091-610b-4fda5f07bbb7
884cecdc-e4eb-85c9-2f48-519401407d8a,50a8f401-ab32-11ba-870b-3a7f63be2194
89061a19-b61a-470d-ad72-4d269601ae8a,
89426a3b-5dc7-1db3-5c92-81874477b23a,
899ac3e9-956e-20f4-73b0-7dec05ba0d82,
89f021bb-b0c2-3167-af00-9d6fc3fa5983,06bc710e-2175-f8ec-46ef-0a105439cab5
8a33b898-2242-b9fc-b7ca-9a83c42f0bb2,
8a5cd627-0528-562d-0bd5-a719bde95c12,
8a9a64a5-ec41-1067-20c2-45c35e97eaf0,
8b9c08b6-8532-2f7f-d825-b5773cae0e8d,f724affb-1e42-69b8-52ae-1849632ee841
