pkid,name
9e9b1629-abaa-f98e-3f19-8bd377a127ff,FXF-BTE-rl
a063ceed-3b27-d551-de75-b9ee626047c5,FXF-WMR-rl
a11f136e-a346-0d9c-1747-dce6beecc256,FXF-WFT-rl
a17cf67b-ca13-216c-d83b-7030f5a71926,FXF-MSN-rl
a288d68f-ca9e-d065-cbe2-8ff2cb0c2ceb,FXF-TUL-rl
a532c681-9963-3ec2-421d-c83417babc38,FXF-WNJ-rl
a78ac3dd-2311-2ae6-a8cc-7b8668439d19,FXF-FCY-rl
a7afccda-6852-531c-5009-365968a02f6a,FXF-PVD-rl
a861d372-ffef-eecd-6554-198e6c944bf1,FXF-BOL-rl
f39d088a-0fee-8728-86c9-93959709535a,FXF-SJU-ATTSME-rl
a8eb4b7f-c549-04da-83e5-c445a60ea4ec,FXF-GNA-rl
a953f503-08c0-247c-505c-328793bd0d8a,FXF-CRW-rl
a976018f-84ba-ab28-581f-d9b94d256dd2,FXF-MIE-rl
aa138219-c5d4-59f9-a2e8-03ede891391a,FXF-ATO-rl
aa252a44-1560-cbe6-8f56-21e232dff211,FXF-EKA-rl
ac9ed66b-d75a-037c-9499-55ceed8f8ec2,FXF-ALX-rl
52981acf-5e58-4abe-96ab-7c28581e5e97,CKBSC2_local-1FBs_rl
af400855-f100-9d79-56c1-7f97562daaf7,FXF-TOP-rl
af643ea9-ba6d-4d99-42be-c3b59de812aa,FXF-EUG-rl
b11be349-2619-a2f8-51f6-3eae58005f52,FXF-AVO-rl
0fc71517-da8a-4daa-b506-02a133e7d4ae,FXF-GLR-rl
b1ca15f0-4c1b-825f-4c89-e9c254929c40,FXF-PAS-rl
b21f4956-6986-495c-ea62-673a4a92ebfe,FXF-MED-rl
696bb3fb-bf4a-4a49-a8c8-ef745f3b2d06,FXF-MDL-rl
b3d6e1da-855e-d1b0-0dce-f005083a0683,FXF-DBQ-rl
b45aa042-a9c2-0944-e413-d95be56735b9,FXF-BTR-rl
b7b2e50a-544b-fbc9-d049-35c5a32edd4d,FXF-RFD-rl
b7e083de-905a-3151-7f2d-ac5e5848d7f9,FXF-DTR-rl
b86c8560-cb8b-53ad-ed2c-1f44ee81ee85,FXF-WPT-rl
b88be262-92cb-6b7a-1818-c1a33ad64bb2,FXF-WCO-rl
bcfce623-a182-21b1-71e1-00df48e58cfa,FXF-GLD-rl
bd296791-acf3-9603-91c9-73311172b35d,FXF-COU-rl
bfe5e021-87bb-8b2c-352c-f4ef983e36b9,FXF-HBG-rl
c0197605-f532-9bbb-4455-69fc325cb742,FXF-PHL-rl
c33b1c05-4cb6-4b78-c0ad-90afdecc6393,FXF-GBD-rl
c45a4958-9377-e66e-b800-383f15287969,FXF-SBM-rl
c5a3df0a-860f-8901-ca28-450337152df7,FXLG-CHA-rl
c70610dc-4421-0f05-e56a-4e91d0f60a54,Voicemail-RL
c706228c-d51a-ab1e-7c33-6414b7725faf,FXF-ODS-rl
c809f956-dbc2-05ac-c487-f2783076aee1,FXF-CHS-rl
d4118476-3b1b-38dd-216c-f925472a3f0e,ATT-CANADA-RL
c84c2c37-776a-20cc-1d28-b3e7c155722d,FXF-WNY-rl
d024314e-5d4d-48c2-9255-8084c3e50ca0,FXF-CRB-rl
c92d27c5-f4e8-1a86-a224-9c5f1ef40a4a,FXF-FWA-rl
c9f471d2-8cc1-6cfb-55b3-7ac107fa4102,FXF-OTM-rl
ca27d850-9c83-701a-7ed7-3f803b9b06e5,FXF-LNK-rl
cb5ce3ac-bad5-9d6b-da54-202ae4664bd0,FXF-PHN-rl
ce78acda-0f6c-efd3-09d5-1e90d5ea7bf7,FXF-ELK-rl
d2bf5bf0-e5b9-5140-2f37-4b809754c2d4,FXF-WNP-rl
d46535fb-05e3-75e7-3ffe-f1d8c1e18da3,FXF-STE-rl
d5873a0a-7d70-0b28-16a2-7ab7ad01b54f,FXF-STN-rl
0cc2e15f-8e1d-4f18-9ee2-9daecb749247,FXF-SUX-rl
d68a0c2d-0077-4993-066e-405709eaaa0b,FXF-CLR-rl
d963b032-9544-fe7e-5090-74bae3f7f9d3,FXF-HMT-rl
da6b4f0f-9e24-cc8c-78a1-52f831319108,FXF-SJM-rl
da9df633-f3c8-22c2-736f-0b59547deba2,FXF-MEM-rl
de420d5c-f93b-4446-59bf-ea9323eec849,FXF-PCA-rl
de6172ef-4a94-b085-81ac-92dafaf78e3f,FXF-FLO-rl
df37fa2a-4b82-de6f-6f5f-e6523be7c2f1,FXF-VLD-rl
e1415e9b-89fa-8c11-7656-adeef2af37c6,FXF-BKF-rl
e1efc688-c12a-ff60-a268-fc891d75c514,FXF-NEW-rl
e24ef652-f7dd-b984-0656-6429c95be7f2,FXF-WBA-rl
e3559451-5ae2-4cf7-7a25-2574e7d94a97,FXF-SNO-rl
e45fb118-9bfc-79a5-e053-7efea2af5580,FXF-ROA-rl
e47081df-5f33-0991-cd91-909c2ddfe5ca,FXF-MVN-rl
e4ba61a5-14d1-ba4c-8896-345333921636,FXF-ABI-rl
e52dd894-a4eb-8d60-b887-6c1a4ec8dda8,FXF-HOB-rl
e53d4135-5c79-b12b-9366-0bc429ad8dcd,FXF-CGY-rl
e87e4db6-07b8-217c-a61a-918209456f80,FXF-WMN-rl
e880ae38-dcc1-dbb9-b8a0-d787651f9915,FXF-EBO-rl
e9162265-4ea1-03fc-e92f-20d988e0d430,FXF-SYR-rl
e92cf2cb-b9ce-2820-7366-f7c3e84d3ad0,FXF-SBR-rl
e9c81d1d-6818-160e-59cb-bee5f599ce83,FXF-PKB-rl
ea186491-402f-e4a4-99b5-415708ace322,FXF-ZON-rl
eac53e38-ed74-f286-ebbb-d81cc024d208,FXF-ALB-rl
4770a16e-1b69-45b8-9193-8a5db73f6680,FXF-BSE-rl
eb9eef54-4afb-f32d-95f5-63299ae6dcda,FXF-KKE-rl
ec1e2c8b-3e76-59bc-d9c2-39a1bbaf0292,FXF-POC-rl
ece1e792-ed44-12d8-49e1-f9e91beebdc1,FXF-MAN-rl
ed09d67d-f5ef-5e06-742e-f1416f3eb6bf,FXF-HOT-rl
ed0add44-bb52-cd2d-a456-8172a9148d64,FXF-DLH-rl
ed26ea94-6c03-9487-5cac-c6887e959118,FXF-DRT-rl
ed8a988a-0417-3eb1-2db4-df2b9eae98ee,FXF-TYR-rl
8260d8c2-5421-4dd2-ae36-6ca3af81da75,FXF-NEA-rl
eeb23896-f586-9f7e-e815-603c863be104,FXF-CHA-rl
eebbac9b-5b70-04a2-d581-c46633a7586b,FXF-FAR-rl
ef60b26d-cb9e-8f31-fd84-fa010ff07fc7,FXF-SDO-rl
ef70b3d9-594e-556d-f9e4-2128eaa596ee,FXF-VBE-rl
f10968d7-7bdd-a669-e6eb-304d26166d39,FXF-STK-rl
f24895fe-d684-f5c0-6035-d330bac5564b,FXCC Frieght Unity to ICM-rl
f327ef10-9c9f-7a86-799a-6ad6f9a15f19,FXF-BWG-rl
f40aa034-a742-c05b-0da6-0eb04660886a,FXF-LON-rl
f45abd81-ccd7-4aba-a553-b6575a432428,FXF-SMN-rl
f49a0482-6d10-fa28-7301-8a228143463d,FXF-EAB-LocalGW-rl
f53298eb-7228-dbdd-f589-3d52cef69862,FXF-LAF-rl
f5672c66-d006-ab9a-ee5f-a0088dcd8a33,FXF-LAW-rl
f640c77c-f55e-45c5-1e3f-6959a434aabd,FXF-SGO-rl
f80301e0-3a34-8571-b537-5c4d1d419584,FXF-TUP-rl
f8405647-af0f-1689-2eb3-0bd395a0e3e8,FXF-PIT-rl
f847bce3-c2a2-b590-5609-01af66ba4304,FXF-SED-rl
f92f7065-2ca6-2a66-3468-6b84f98732f5,FXF-ERI-rl
fcae7dfe-f3b5-1275-d5d3-d0ddc6c9e695,global_rl_plus_SME
fcbbfaf6-9670-8da3-80d5-2cc6f53a53e1,FXF-GVN-rl
fd318d9c-8981-46fd-7b07-1153936a9a37,FXF-MGM-rl
fe0efc0a-1b6b-e02a-7bb0-e3a2c620d909,FXF-NSD-rl
fe42ba5b-e5af-9f49-ffa1-601b1b8a515a,FXF-DPL-rl
fffcb55c-7ebc-5ab4-b731-30f3e6b135a4,FXF-MCN-rl
7687d8ad-02c7-9121-412e-079359f34ca8,FXS-SME-ATT_rl
bbe24319-d5f4-dc79-c5c3-bc684b1d6f88,global_rl
3cb3202f-d75b-c1b8-80fd-68b67b83a21c,FXLG-Voicemail-RL
270728de-dbf0-46c8-987a-857eb2adeb60,FXF-OWA-rl
2a7d2cab-7981-53bd-9907-9b86d550ab2a,FXFtoCORPU
442fbee6-fd9d-dbc0-9d89-8e284313486d,FXF-CAD-rl
dc4ec38b-59f3-5b15-54ea-607da61a7e6c,FXF-GRI-rl
3afffc6f-eae3-4375-981b-107373cc0538,FXF-MFD-rl
3e671712-228d-04da-9bfc-e141a1ce8a26,FXF-MRO-rl
bfb495f2-e730-a517-765c-7079254add84,FXF-LCH-rl
651adeab-4ae6-46eb-9e5c-c1237ef0f5bf,FXF-LIN-rl
c512cc02-ff66-4c32-ae5e-d9cb4d0f6129,FXF-JOP-rl
fbc76f8a-6206-4ad5-8b04-f7d14d1a3861,FSC-FTWS-rl
37a5da86-7aac-4ad9-8d90-3b536271ec77,FXF-AGS-rl
2e2f5c3a-7ec5-4459-8424-6cb91993a85b,FXF-ANH-rl
c872f2db-dff8-4d6c-838e-bce8f9420cc0,FXF-BHM-rl
77c1119f-3cc8-473d-a1cc-c51bde0fc908,FXF-DCU-rl
d7c1e135-9294-4239-bc79-6bc8b338eff6,FXF-RNO-rl
71943042-c0be-43d4-add1-149352a6185b,FXF-IVN-rl
4faebb62-ae44-42ff-9269-b06811a8fd66,FXF-OXN-rl
180980e0-04a5-4714-8dfd-c2039cdcfc53,FXF-FNT-rl
