pkid,fklocation
74c07d70-8c92-1e6f-3419-ab8a288e9161,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
11501b01-16ad-4976-9bbe-3393aa11a1d1,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
9384f171-18ac-cdce-180a-1956b71a5611,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
2be4a7a2-e02c-3448-f561-e77768874bb0,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
9a338908-7101-ad0a-ea3b-3e3913bbc0b0,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
27a707d9-a282-6233-c4eb-ba7448aac7ed,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
354eb643-3b15-30e5-dc3a-cbcbbc807bc0,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
61a57ecb-4f35-2698-d8b1-a0a6ef3a7b13,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
814b107a-9bfb-cada-15a9-4019d8a19617,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
03d15580-e595-d93a-5974-a94ccc09c5af,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
a433d61a-b36b-e42c-3133-7cb0108a7d77,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
daf65cd4-d648-ef97-bbc7-9797b1809e46,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
ac83155b-2d73-df33-57ee-9f32b1b99e1b,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
598164bf-46da-7723-7f70-2852f6e8595a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
b9f3b680-2ecf-ca91-bc58-75e055a63409,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
83f3ae23-2f53-fcc9-b4f0-02129576f767,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f2c15c33-460f-3647-2b07-f131968d3c6f,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
019a1193-0237-988f-fc23-c8b9927fdc1a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
56d2e426-09b1-73d9-079c-e388d0e02a35,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d6e19559-cb1b-708c-f661-285aadc70fa5,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
3be26147-a98d-cd4c-3a83-75a496d1c017,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
b9a7c082-0fd0-9932-a53b-e49fdd81f962,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
5a523bff-7204-446f-f26e-1273469df234,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
4fd748de-f0ca-0d7d-79a0-edf1002c772a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
314fa6af-f587-88af-9b79-c64bd2d1c355,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
602ed465-2796-fcd2-5a8c-1f8ebe032a22,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f23324f7-bc74-3475-7221-7d810e185b60,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e4e54fb5-53a6-29a6-bf8e-22e1bff0d26b,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
7809534e-1871-cd56-c58b-aee8f50ba40f,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
13747e38-0131-19a3-145d-3ba6877d8463,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
8e861229-5141-1b23-df24-b0a00d2260bf,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
41610fb4-b08a-237e-2cb8-389028ee6621,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e4d35c3a-879f-178a-1247-52ae2fbffe63,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
06ced840-d43e-5646-f289-d4a78e6a578c,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e24eb442-3693-a31c-ba1f-ec1831476d8b,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0f964e90-d71a-1ba3-c007-42465493dd65,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
3d2c7592-80c3-cd8c-3afa-21fc12f7e352,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
9f5bea5a-9a56-637b-2751-4b45605b05df,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
727a7c45-f825-e244-267e-004a235640eb,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
41b6af7b-4467-0ecd-bb8e-eb8498d793ba,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
bf6091d7-b824-54ad-2163-70a8725f3768,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
44338da6-8275-5384-6157-699f074d6b9f,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
25c3f0c9-3808-3959-bf9c-d3ffc56f5856,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e94261db-6c4e-5433-6d4e-36e0b82809b7,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0ad8a9f9-c67a-a56e-f66a-72787212c223,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
8b3b7816-63eb-8b28-728b-b639efeeaed6,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0009f0b1-3b5a-791d-0cdb-5d4ddd225f79,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
7ec108c6-aa3f-06da-616c-f9caefd8a5d8,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
8863267e-8430-b254-4db4-9c017b03ee15,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
27c0afbc-72a4-2bb7-115a-a9d12112b74e,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
23fc592c-6510-5429-ab73-b97911c06ae5,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
b18a5cc1-2f48-8957-8ba1-02e9dc579a72,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
