pkid,fkdevicepool,fkregion
52db88e5-1533-4193-b52c-feb938661727,1b523181-2816-445b-b5b9-be5387e0aaf6,e17f6602-fa2e-6626-7c66-d6641c1eef36
9f2d3dfe-5049-4066-a384-6e50137e820d,18a238b7-db2e-e9d6-831e-5c4ce2f732d9,31043493-0818-3273-43ab-05d4da3bdeb7
56383fda-065b-4fd2-8b09-dbfc7c15fbe6,252bb78e-11fd-4a74-8e34-126c1a2b2a1e,7280a4e6-df76-ec4e-7c60-25b501f072bc
af8d5231-cdf4-4d56-96ae-14be7aa3b244,22805847-a3da-41a1-9ef2-b37d1bacf637,8b8a9d23-d9d1-6e05-6069-25d8ce856327
e4ed6fa5-8d94-4f05-b8c2-aeeaf7343d19,268aa216-f8db-29dc-ab8f-6f35f40c8631,1bc9c0d1-5ba8-b4dd-d292-a49c86b9e356
d5e7d80f-446f-4b51-9981-725119279ac8,21cf647d-e774-4470-8715-9c307546a03b,6dc991d9-fe8c-a400-dabb-7e16a3e60ea7
bbb3f7cb-b02c-4b04-85c3-834e3bce3198,1c6ab4d5-4443-483a-bcbd-1c65e701a7c4,a2a81194-7718-051f-baa4-9dc4291ce04d
4b1ecc65-2aca-4250-8a24-095c8be87872,1e30681a-1c7e-468b-a5de-d9dfe0694bc3,8db14c6c-699e-a050-df90-361a75746814
27c3b6ca-ee71-4123-b039-1f1e329b5935,2c7724b3-da89-4970-b751-a0516b06b1fd,bfb41ef6-407c-a48f-cf59-1672d4e4ca43
3a2fe349-edf5-4182-b254-5282c3c976b7,2bfb32a0-7f61-4446-8e4e-be3eca8d66f6,72aa406b-ea92-cb12-96eb-c20e0baf562d
17a0eb5c-f3f1-45c0-933c-7f24176a4904,2d3e8f33-44db-4a78-9cf3-207a572a9160,a40fa875-bbcf-8d1c-815f-d0c5d0ec5e0b
48d3ca0b-ba5c-42a8-afdd-2ec09e4473b0,28e5ac9e-80fd-49fa-af10-008612aeb3df,62a07317-51b4-f0a4-aa50-64df142ef83f
a5549b79-71f1-40ea-8d4a-de2beece6033,2ec50bee-3039-40eb-91bd-71b5423826a6,f0d81911-5a80-fa8c-cd79-99bf2f54b007
2549a2b0-dae8-4a1e-b77d-1c5c4af420f4,2f74f5ef-981e-4794-89f8-f65521d98af0,884f55e0-169f-247c-1e9c-7c7556a71944
f7ef5554-f02e-4ecc-a1f8-80ee42de7ed6,2f8dae63-041c-41dc-be04-0619db9f2e79,0f24e346-6fe6-9930-18e0-8e391b4e145d
fba6bec4-b8f8-4960-aca4-faf9785a1087,2d9f93d3-2d6b-df84-e522-b9990c10a1cd,80420fe2-03ec-d910-cf22-902ac1f51a1a
6119ac14-0c2b-46aa-8c2c-8a367cbdbfa9,30c13f05-fb5c-49aa-99f9-241e13b95f32,2b023c33-5359-c1fc-c8d3-e1df2d7e2380
