pkid,fkdevicepool,fkcallmanagergroup
03cf91e3-4e5b-4966-af88-8ac0f10153d6,18f3da90-ecd1-42d2-b01a-27b487f765c7,70c197ba-8951-14ad-a270-b32053663da9
2ca8d9e2-7557-4670-b9a8-570a323038e4,1a7cefd6-f696-4fe2-8cd8-cc500c82d0f2,e64d226d-1d88-a330-ae45-a66bd201b031
514edcaf-f860-45ff-91a8-f9aae8d81438,1b523181-2816-445b-b5b9-be5387e0aaf6,70c197ba-8951-14ad-a270-b32053663da9
2377c17f-d602-4f34-acf0-b14e92f78a9e,18a238b7-db2e-e9d6-831e-5c4ce2f732d9,e64d226d-1d88-a330-ae45-a66bd201b031
efe8bbb9-5822-435a-bc28-d251b2b83f0e,252bb78e-11fd-4a74-8e34-126c1a2b2a1e,8578e802-08ab-1d2b-e599-c3b247d9165c
f8df08c1-87ee-41f7-b142-97d5c29cd592,22805847-a3da-41a1-9ef2-b37d1bacf637,e64d226d-1d88-a330-ae45-a66bd201b031
b4c687e9-2efa-4eb5-b9df-af2661cbd3d6,268aa216-f8db-29dc-ab8f-6f35f40c8631,e64d226d-1d88-a330-ae45-a66bd201b031
67cfc26b-5c53-453d-9ccb-16fe9d2e67dc,21cf647d-e774-4470-8715-9c307546a03b,e64d226d-1d88-a330-ae45-a66bd201b031
64a344a0-a6c8-4b21-81b3-927f7295f413,1c6ab4d5-4443-483a-bcbd-1c65e701a7c4,70c197ba-8951-14ad-a270-b32053663da9
fe1b1051-7a9c-4978-a0c8-f3ab2ab986c4,1e30681a-1c7e-468b-a5de-d9dfe0694bc3,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
38f59fe3-14ae-4c03-a4ca-57cf6e4c69d2,2c7724b3-da89-4970-b751-a0516b06b1fd,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
4a7c2711-e3bd-4dae-baca-5a4a780d5b05,2bfb32a0-7f61-4446-8e4e-be3eca8d66f6,e64d226d-1d88-a330-ae45-a66bd201b031
1390514f-b7ee-4e74-9f5c-f0b4643fa703,2d3e8f33-44db-4a78-9cf3-207a572a9160,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
56f6fcb6-11aa-4fa2-969c-b50dc0dd2e5a,28e5ac9e-80fd-49fa-af10-008612aeb3df,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
bfbb3bdb-75a7-468e-a237-5b51ec0c5878,2ec50bee-3039-40eb-91bd-71b5423826a6,70c197ba-8951-14ad-a270-b32053663da9
25930dea-1baf-4296-b4b8-64948eca43c5,2f74f5ef-981e-4794-89f8-f65521d98af0,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
c1e96416-aa96-46bd-9428-cf1ad3f4e9e7,2f8dae63-041c-41dc-be04-0619db9f2e79,70c197ba-8951-14ad-a270-b32053663da9
4374de63-9b10-459d-af78-b628a5b985c0,2d9f93d3-2d6b-df84-e522-b9990c10a1cd,e64d226d-1d88-a330-ae45-a66bd201b031
24b93e6c-36c3-4dad-b66b-8ac4fd6fb6c4,30c13f05-fb5c-49aa-99f9-241e13b95f32,e64d226d-1d88-a330-ae45-a66bd201b031
be31a8c6-1362-48db-8779-dcf0fedd70e7,2eca0dce-3f83-49c6-b9ec-82fde5d1f6a2,e64d226d-1d88-a330-ae45-a66bd201b031
