pkid,name,description,dialplanwizardgenid,clause,resettoggle,tkreset,tkpartitionusage
0dda9c9d-a8fd-570b-4953-3c01ce628276,FXE-FIELD-A-BILR-APP_css,BILR CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-BILR-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
4798fadc-fd41-226a-fc24-7e7f5ab98f5e,FXE-FIELD-A-LAX200-APP_css,LAX200 CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-Field-A-LAX200-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
68b0b17b-3856-ca21-33a4-aeef0155afc4,FXE-SGUA_CngPTP-xform-IN_css,FXE-SGUA Transform Incoming CLID,,FXE-SGUA_CngPTP-Xform-IN_par,f,2,99
523b4944-ee73-dd4e-3675-958a4b1e6f76,XFORM-CKVA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-CKVA-MGCP-DNIS-par,f,2,99
7a2b57a3-7adf-ac37-8ac3-913638868d1f,XFORM-LUFA-MGCP-DNIS-OUT__css,,,XFORM-LUFA-MGCP-DNIS_par,f,2,99
8433bad7-bd0f-11b7-7319-6551e93a7ae8,EWRGS_CngPTP-xform-IN_css,EWRGS Transform Incoming CLID,,EWRGS_CngPTP-Xform-IN_par,f,2,99
5fe07aee-04b2-6a32-5bf4-7882a3ba6f41,XFORM-DAGA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-DAGA-MGCP-DNIS_par,f,2,99
288397f9-a6d6-5b19-cc9d-e5dbe87c8911,XFORM-1627-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-1627-MGCP-DNIS_par,f,2,99
1963f080-6d49-0df3-8ad8-ef4c3e2d7f92,FXE-FIELD-A-YKMA-APP_css,YKMA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-YKMA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
f3b3592f-0998-9692-b43d-43f69f03777a,FXE-FIELD-A-ORFR2-APP_css,ORFR2 CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-ORFR2-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
1dde2b9c-d026-cc39-1117-3c8807d8d8ec,FXE-FIELD-A-LDJA-APP_css,LDJA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-LDJA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
67832f9b-b260-e523-5126-e93b958c6859,FXE-FIELD-A-LCKR-APP_css,LCKR CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-LCKR-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
9c594ac0-01bb-6fae-02b7-9c18b3ce078c,FXE-FIELD-A-IAHRT-APP_css,IAHRT CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-IAHRT-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
aa05d273-9a2a-dfca-7336-0196b62624b4,XFORM-INDCA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-INDCA-MGCP-DNIS_par,f,2,99
5bc89128-6195-a9e5-eece-fb1824e289f2,FXE-LAX200S_CngPTP-xform-GW-OUT_css,FXE-LAX200S Trans numbers leaving the local GW,,FXE-LAX200S_CngPTP-xform-GW-OUT_par,f,2,99
45325bb8-c65e-93af-57b6-5cb83165de8f,FXE-FIELD-A-SHVR-APP_css,SHVR CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-SHVR-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
7acbcdfa-a6c8-9655-84b0-eac4bd45861f,XFORM-MOBA-MGCP-DNIS_css,MOBA Applied to site gateway configuration in CUCM,,XFORM-MOBA-MGCP-DNIS_par,f,2,99
764276a8-ba12-2256-c255-1d14d000abba,FXE-FIELD-A-OMA-APP_css,OMA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-OMA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
177bc096-09c6-46e4-506a-bd39fb6755da,FXE-FIELD-A-PVDA-APP_css,PVDA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-PVDA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
59cf117a-c9fe-4e46-f54d-03956fec6f24,XFORM-MCIR-MGCP-ANI_css,Applied to site gateway configuration in CUCM,,XFORM-MCIR-MGCP-ANI_par,f,2,99
9f7bb6fc-6b7a-2af1-5e2b-379064319baf,FXE-FIELD-A-GADA-APP_css,GADA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-GADA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
2cedbe5c-5199-e331-7dee-9bf5bccdf91f,FXE-FIELD-A-HIBA-APP_css,HIBA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-HIBA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
794d82b3-9c1d-d915-3c2c-b9ef0025742a,XFORM-BFIA-MGCP-ANI_css,Applied to site gateway configuration in CUCM,,XFORM-BFIA-MGCP-ANI_par,f,2,99
128ac79c-d77c-a430-f368-acb8928e614a,XFORM-ARBA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-ARBA-MGCP-DNIS_par,f,2,99
ad86186d-3421-81fe-3538-0baa28347451,FXE-DALA_CngPTP-xform-GW-IN_css,FXE-DALA Transform Incoming GW CLID,,FXE-DALA_CngPTP-Xform-GW-IN_par,f,2,99
236b78e2-bbce-2aa9-db93-b8371b1a8d20,FXE-MCORT_CngPTP-xform-IN_css,FXE-MCORT Transform Incoming CLID,,FXE-MCORT_CngPTP-Xform-IN_par,f,2,99
bd7de38c-c9e6-8e85-aaf4-a64a877dce29,FXE-FIELD-A-POCA-APP_css,POCA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-POCA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
4bc0d183-966b-89e2-d971-da66770b61d7,FXE-FIELD-A-TOAA-APP_css,TOAA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-TOAA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
641cbc41-cd4f-70a2-d778-a9243ef60395,XFORM-MCWA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-MCWA-MGCP-DNIS_par,f,2,99
870343bd-f00f-2c34-ad9d-e9b7b4796790,FXE-FIELD-A-MCIR-APP-css,MCIR CSS to be Placed on the Lines at the Site,,FXE-FIELD-A-MCIR-APP-par:FXE-FIELD-A-INTERNAL_par:BLOCKED-GENERAL_par,f,2,99
16f89f1d-2d66-0cd8-6e77-c5fe9f2dbbd0,FXE-PIRA_Internal_css,FXE-PIRA Internal Calls,,FXE-PIRA_internal_par,f,2,99
57b315ae-cb31-0bc3-6b59-3d4337d7c7c9,FXE-FIELD-A-INDRT-APP_css,INDRT CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-INDRT-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
7252ad5b-2ab7-e3b1-472b-bee7410690d0,FXE-FIELD-A-FBGA-APP_css,FBGA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-FBGA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
c4284cf0-f7c5-e772-2e90-92593b769fa7,FXE-FIELD-A-JXNA-APP_css,JXNA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-JXNA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
7cfa92a1-a8a3-6858-9052-553428530cf7,FXE-FIELD-A-BIXA-APP_css,BIXA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-BIXA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
987cb04c-493c-4a05-54ec-6eb680425b32,XFORM-SCKA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-SCKA-MGCP-DNIS_par,f,2,99
d1f03d30-5189-9430-d240-804ed70861f5,FXE-FIELD-A-LAXRT-APP_css,LAXRT CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-LAXRT-APP_par:FXE-FIELD-A-INTERNAL_par:LAXRT-MAINLINE-LAXRT-SUN-FRI:LAXRT-MAINLINE-LAXIP-SAT,f,2,99
e67a441e-d426-4da8-cada-87099f5b0d8d,XFORM-FYVA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-FYVA-MGCP-DNIS_par,f,2,99
5de55326-f4cd-d2ef-36bc-02f4c688d80d,XFORM-MKTA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-MKTA-MGCP-DNIS_par,f,2,99
70541b5c-8650-ae4a-aabe-36c823e4864e,XFORM-MKEA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,XFORM-MKEA-MGCP-DNIS_par,f,2,99
a8a3100a-10f5-3630-6aa2-d781cb06c82b,FXE-FIELD-A-AYEA-APP_css,AYEA CSS Applied to the phone lines and Gateway,,FXE-FIELD-A-AYEA-APP_par:BLOCKED-GENERAL_par:FXE-FIELD-A-INTERNAL_par,f,2,99
9b987805-8d71-27a3-ca6a-e98813642c6e,XFORM-SHRA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-SHRA-MGCP-DNIS_par,f,2,99
dcf62d5a-34fd-0fbe-1dad-2bf04c10f909,XFORM-SIKA-DNIS-OUT-css,Applied to site gateway configuration in CUCM,,,f,2,99
