pkid,fkroutegroup,selectionorder
f327ef10-9c9f-7a86-799a-6ad6f9a15f19,ef6dd515-20bb-f706-69cf-6ae306d3272e,1
f40aa034-a742-c05b-0da6-0eb04660886a,be1d9b1f-525f-90de-3930-7dd6d03cddf7,1
f45abd81-ccd7-4aba-a553-b6575a432428,ab02e2b9-aadc-bee0-f37b-b90f930e03bb,1
f49a0482-6d10-fa28-7301-8a228143463d,0e8cf676-6f4d-6be6-6852-9a4c31de3a46,1
f53298eb-7228-dbdd-f589-3d52cef69862,2fab7d40-85e8-00d4-ded9-c8fb700ce87d,1
f5672c66-d006-ab9a-ee5f-a0088dcd8a33,73f41d9b-b0e2-21ee-1bff-640768b582ab,1
f640c77c-f55e-45c5-1e3f-6959a434aabd,b2e01200-abcf-eb66-9435-1aff0f7ab71f,1
f80301e0-3a34-8571-b537-5c4d1d419584,27af9f49-088a-6287-8199-162b31ee3777,1
f8405647-af0f-1689-2eb3-0bd395a0e3e8,2aff860c-76cf-7833-6cb7-b53cf5f13e67,1
f847bce3-c2a2-b590-5609-01af66ba4304,aa041541-f9fb-fa5d-7ce6-920f98180bdf,1
f92f7065-2ca6-2a66-3468-6b84f98732f5,17fcb7a8-df98-e596-27a7-d10a2d86f648,1
fcae7dfe-f3b5-1275-d5d3-d0ddc6c9e695,00000000-1111-0000-0000-000000000000,1
fcbbfaf6-9670-8da3-80d5-2cc6f53a53e1,6050be75-c96f-777e-4fca-a17fb233fa73,1
fd318d9c-8981-46fd-7b07-1153936a9a37,7e96090c-ba22-b8b2-a978-e4fb04d27efe,1
fe0efc0a-1b6b-e02a-7bb0-e3a2c620d909,bd396754-199b-97b8-92b7-9e8e23a33c5e,1
fe42ba5b-e5af-9f49-ffa1-601b1b8a515a,a62c6a7a-e926-77b8-8315-05b167c5e5e4,1
fffcb55c-7ebc-5ab4-b731-30f3e6b135a4,bed2d7de-132b-4308-dfa7-5b8e26764e11,1
7687d8ad-02c7-9121-412e-079359f34ca8,00000000-1111-0000-0000-000000000000,1
bbe24319-d5f4-dc79-c5c3-bc684b1d6f88,00000000-1111-0000-0000-000000000000,1
3cb3202f-d75b-c1b8-80fd-68b67b83a21c,97fbe8b2-c35b-841e-896e-1577812b4804,1
270728de-dbf0-46c8-987a-857eb2adeb60,df13e0ca-bfd4-8210-55ad-2d7cf194719b,1
2a7d2cab-7981-53bd-9907-9b86d550ab2a,3e67fad9-fbbf-5d63-33dc-c574ca3a8088,1
442fbee6-fd9d-dbc0-9d89-8e284313486d,ef2a4d0f-294a-9a59-b5d5-a1335e05a55e,1
dc4ec38b-59f3-5b15-54ea-607da61a7e6c,a4b20757-3a17-0d08-40e1-73d4b6480df1,1
3afffc6f-eae3-4375-981b-107373cc0538,9ddbd540-5b39-7f9f-29e4-b40ed88a581a,1
3e671712-228d-04da-9bfc-e141a1ce8a26,033b566e-8702-8941-8bb6-5a48704caad4,1
bfb495f2-e730-a517-765c-7079254add84,4825aea5-7117-c560-689f-736501d78d54,1
651adeab-4ae6-46eb-9e5c-c1237ef0f5bf,0a71e229-ca8d-353a-6b4f-9a8ee78fdfd6,1
c512cc02-ff66-4c32-ae5e-d9cb4d0f6129,a78aa864-6432-3dbc-5e45-74d9acaf83a1,1
fbc76f8a-6206-4ad5-8b04-f7d14d1a3861,a040672e-fbd3-f487-fa86-fa83a3412b89,1
37a5da86-7aac-4ad9-8d90-3b536271ec77,acaa53ac-ee84-cc96-44d2-3df31adda07a,1
2e2f5c3a-7ec5-4459-8424-6cb91993a85b,934a2cf7-af8c-9d79-ebcd-65a4ae247831,1
c872f2db-dff8-4d6c-838e-bce8f9420cc0,f81fdaab-bb6d-671e-b1a8-29a4600fc2cc,1
77c1119f-3cc8-473d-a1cc-c51bde0fc908,f4559288-2edb-5a78-b200-1d531eeb1f3e,1
d7c1e135-9294-4239-bc79-6bc8b338eff6,d7bda344-54f8-b718-63aa-6fb6034f080d,1
71943042-c0be-43d4-add1-149352a6185b,99075371-8e87-1e59-d148-eaa3461d26d9,1
4faebb62-ae44-42ff-9269-b06811a8fd66,a26db8d4-f6f3-137f-4a55-984cf2442414,1
180980e0-04a5-4714-8dfd-c2039cdcfc53,c164f664-3be2-efbc-1032-0662abf3a12c,1
ea07d2e8-0d04-435b-971d-8d387ff3cd9a,bf6dcfd7-63e1-8ffd-938e-b4e65ed412ed,1
1626ddd2-162d-44e0-ab99-670dbed07977,3ea89b55-04c8-51ff-5a93-a7437f4d025c,1
