pkid,name,description,dialplanwizardgenid,fktimeschedule,tktimezone,useoriginatingdevicetimezone,resettoggle,tkreset,tkpartitionusage
c688c61d-9b1a-4539-b23c-ef6cd6431d7b,FXE-DRTA_911_par,FXE-DRTA 911 partition,,,22,t,f,2,99
8b40b849-ad48-4c62-9ccc-9aad06c303ea,FXE-FIELD-A-OWAA-APP_par,Site specific partition,,,22,t,f,2,99
f6fd74ba-aa38-4a60-912c-3017fe1985d1,FXE-FIELD-A-CHSA-APP_par,FXE-FIELD-A-CHSA-APP_par,,,22,t,f,2,99
a8542d41-2cbe-405f-a788-191c2e9e7f85,GEGR_911_par,GEGR_911_par,,,22,t,f,2,99
e0fd04cf-9780-4393-8466-8677677ba244,FXE-HTSR_CngPTP-Xform-IN_par,FXE-HTSR_CngPTP-Xform-IN_par,,,22,t,f,2,99
9cc55b13-27f5-44d0-97ad-35015e981080,FXE-FIELD-A-PVUA-APP-par,FXE-FIELD-A-PVUA-APP-par,,,22,t,f,2,99
f785000d-6c61-4f95-a5fa-ecb73c1fd30b,XFORM-GDMA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
c2c22908-9c68-4c82-8f62-94727f8b0c64,FXE-FIELD-A-SGFA-APP_par,SGFA Site Specific Dial Partition,,,22,t,f,2,99
cdab72a5-63fe-4275-9635-452de1e0d102,FXE-FIELD-A-BFIWK-APP_par,FXE-BFIWK Internal Partition,,,22,t,f,2,99
2e534a82-a10c-4bba-a177-ab62ed05a76d,FXE-FIELD-A-INTERNAL-MGCP-par,Enterprise Directory Numbers for MGCP sites,,,22,t,f,2,99
2ed4c0ce-6cb4-4e05-9b38-a6fc2798601e,FXE-FIELD-A-GAIA-APP_par,GAIA Site Specific Dial Partition,,,22,t,f,2,99
1155a0a7-22e2-4eec-a80c-9e50ffb4a3e1,XFORM-ARXA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
