pkid,fklinegroup,selectionorder
513453ea-949d-a7d1-fc4b-1a46e4cf611d,ec4d13e4-fa90-3ec6-2fa1-efa510368d19,1
51ba55ee-b782-d516-bcb4-4fde4fbb8586,90fe0f5b-68f9-cbe9-9848-e40f099d2f07,1
51d663e3-7606-f2d3-a480-cfb7f4ead96e,9618e805-149a-6c98-2280-2daeeced0f1a,1
5246217c-55d2-c98f-0bc3-1a17be2ca443,65dbfe27-b598-01c2-f683-54947c25000b,1
527f5f08-7fd0-443e-98ab-142353034413,d6a674b8-950f-f773-ab05-fb3ed8ab01d9,1
52e803cc-5e41-e3dc-b4b6-ff9ed1ae671b,43038eac-639e-4043-ae4f-203fa5beccc6,1
535e4a9a-610b-4481-ab5d-8e0fd2836ccb,14fe1e19-89f2-565c-b749-0922529e78e1,1
53cec261-5733-fb54-1d1e-f37b8641cab3,9d6ffca4-d06e-8d7d-af67-89442dae9454,1
53dc2f29-cccd-d788-a6cf-a82262bce8a1,02840be4-6953-3427-0c3e-a3c4b746de72,1
53e27f8c-b221-9848-487d-3c4bf6fd5285,97498ac1-f85a-aecf-aaa6-80eb068711de,1
5448fcfb-6a90-e13d-7183-ad36b4a043af,8e3dffd7-eb79-e91f-34e4-9930877e867b,1
544d21e5-64ed-1082-6621-5aa23892d51a,2aa79dbb-ed0f-8305-73a5-e258c573af18,1
5470469f-1173-474d-963a-f4bf3dc83068,9e20eee8-4f01-8bea-46b9-846f82764044,1
5546df7e-4a8a-bee7-67dc-24226ef79351,de25336e-464f-f9d6-33c3-48f8d1a73e64,1
5611d37e-0cde-7d4d-5997-75dfcba1939c,fea32e99-c6b5-c2b5-b1f3-73d7dc14e5d4,1
5624497b-83d8-463f-aba4-1fcfae814108,6e343371-5de8-dba1-b0b5-c26a7b4e67b1,1
565c0a81-e669-357c-7794-e4bb54a140a6,10048170-bf0b-9fb9-15ad-90baf31c2441,1
566bfdf4-8d26-e93a-e048-c15e90e8e3d0,146f422c-d09f-dbc6-5c85-b94ad8c40479,1
56a07714-0e05-98bb-ef33-7eb4ab5dd6e3,d364d96e-6e53-c24a-6c86-3c4ff32d6617,1
56cdd767-d049-4d86-8b17-71338b516639,0862f4c4-b8a6-fc78-b7ce-2c2bc98241c4,1
