sipdevice_pkid,pkid,name,description,runonallnodes
1ab8a80e-48a9-8acd-e0b8-349fd9e1ba1a,b769d546-1c69-ba8e-b759-af741186596f,FXF-SDWAN-OTW-tk,FedEx Freight Ottawa (OTW/652),f
25aefd8d-ce89-b282-7bed-2bb524e92db2,afc32bc8-7863-fe2b-110c-e03b846834c1,FXF-SDWAN-OWA-tk,FedEx Freight Owatonna (OWA/484) SIP TK to GW,f
b762f8d0-0d88-442f-a2ae-a3c94fe1cfb3,b810b74b-7efe-351a-066e-19c4b1c00948,FXF-SDWAN-BLS-tk,FedEx Freight Billings (BLS/221) SIP TK to GW,f
4bd20994-921c-c0b2-5ec7-ee14205edf54,b570cdb3-544a-11d3-f03f-361bd564e833,FXF-SDWAN-EAB-tk,FedEx Freight Edmoton (EAB/654) 10.16.116.250,f
32885639-891c-1f45-5566-7b6f0aaabf90,9cc044fa-627a-75b4-fe69-fff625c17efa,FXF-SDWAN-WNJ-tk,FedEx Freight Wayne (WNJ/849) SIP TK to GW,f
d05612cf-8aa7-82df-ab0a-5172498ba9df,fe0cf1b3-1970-4b04-e6a1-a6997bbd3211,FXF-SDWAN-WCO-tk,FedEx Freight Waco (WCO/340) SIP TK to GW,f
0d6fe22f-5768-5a46-79af-a5081ecb8bc2,8e4990c9-e2fa-d74a-ba47-9b5c3cf1babf,FXF-SDWAN-DBQ-tk,FedEx Freight Dubuque (DBQ/476) SIP TK to GW,f
4a0a6dec-32e3-08a9-02aa-fa89013c9fa8,bd42ab58-05f6-008d-448c-b3e6572b3fed,FXF-SDWAN-FLG-tk,FedEx Freight Flagstaff (FLG/354)SIP TK to GW,f
03509750-f4e4-856d-b9f6-c12ce1e8babe,c6a3bcfb-40c4-dfbd-3b35-b4c025af0ac7,FXF-SDWAN-TER-tk,FedEx Freight Terre Haute (TER/885) 10.18.3.1 SIP,f
56770c8f-e97b-e4b6-e343-ea6c2f8ec8ad,c07b9201-bc97-8a41-acec-b33174c11b9c,FXF-SDWAN-RFD-tk,FedEx Freight Rockford (RFD/465) 10.17.159.1 SIP,f
be5273f9-1a9c-981e-8da3-32b1d1865bb2,c0a3ec84-a251-e286-a307-fb422e4a0447,FXF-SDWAN-SNO-tk,FedEx Freight Snow Shoe (SNO/847) SIP TK to GW,f
aa44c1e0-048d-5642-5715-5a4df50b13d7,bff20a2a-395e-c653-2769-bd01df71c1fa,FXF-SDWAN-LIN-tk,FedEx Freight Lincoln (LIN/425) SIP TK to GW,f
1f94e059-31de-3c14-b39a-e97d3225de6c,bf71ddd7-b1c2-3600-db15-ae8dce753713,FXF-SDWAN-HRL-tk,FedEx Freight Harlingen (HRL/302) SIP TK TO GW,f
94d10a6e-6cf8-b7ae-36ba-a25357db5806,4ab262f8-7657-0563-1a6a-a2ae5d2fff30,FXF-SDWAN-SLO-tk,FedEx Freight San Luis Obispo (SLO/505) 10.17.217.1 SIP,f
b2752887-4b02-c828-9a46-c64ae3a30e05,77b90ec3-0101-43af-b208-d47bf5cd8919,FXF-SDWAN-LOW-tk,FedEx Freight Lowell (LOW/150) 10.17.37.1 SIP,f
